번호,제조사,제품명,가격,세부스펙,이미지,상품주소
57,인텔,인텔 코어i9-13세대 13900F (랩터레이크),"752,990","인텔(소켓1700) / P8+E16코어 / 16+16스레드 / 메모리 규격 : DDR5, DDR4 / 내장그래픽:미탑재 / 10nm(인텔7) / 기본 클럭 : 2.0GHz / 최대 클럭 : 5.6GHz / L2 캐시 : 32MB / L3 캐시 : 36MB / PBP-MTP : 65-219W / PCIe5.0, 4.0 / 5600, 3200MHz / 기술 지원 : SMT(하이퍼스레딩) , 인텔 XTU , 인텔 퀵싱크 , 인텔 딥러닝부스트 / 쿨러 : 인텔 기본쿨러 포함 / 시네벤치R23(싱글) : 2180 / 시네벤치R23(멀티) : 37135 / 출시가: 524~554달러 (VAT별도) 닫기",https://img.danuri.io/catalog-image/442/640/018/29a763fa09d04336bf74cb939d5458ce.jpg?shrink=130:130&_v=20260921080456,https://prod.danawa.com/info/?pcode=18640442&cate=112747
58,인텔,인텔 코어i5-13세대 13400F (랩터레이크),"389,000","인텔(소켓1700) / P6+E4코어 / 12+4스레드 / 메모리 규격 : DDR5, DDR4 / 내장그래픽:미탑재 / 10nm(인텔7) / 기본 클럭 : 2.5GHz / 최대 클럭 : 4.6GHz / L2 캐시 : 9.5MB / L3 캐시 : 20MB / PBP-MTP : 65-148W / PCIe5.0, 4.0 / 4800, 3200MHz / 기술 지원 : SMT(하이퍼스레딩) , 인텔 XTU , 인텔 퀵싱크 , 인텔 딥러닝부스트 / 쿨러 : 인텔 기본쿨러 포함 / 시네벤치R23(싱글) : 1789 / 시네벤치R23(멀티) : 14621 / 출시가: 196달러 (VAT별도) 닫기",https://img.danuri.io/catalog-image/280/640/018/8051d021c45f45c4929ea024c993e89b.jpg?shrink=130:130&_v=20260920080508,https://prod.danawa.com/info/?pcode=18640280&cate=112747
59,인텔,인텔 코어i7-13세대 13700K (랩터레이크),"667,600","인텔(소켓1700) / P8+E8코어 / 16+8스레드 / 메모리 규격 : DDR5, DDR4 / 내장그래픽:탑재 / 10nm(인텔7) / 기본 클럭 : 3.4GHz / 최대 클럭 : 5.4GHz / L2 캐시 : 24MB / L3 캐시 : 30MB / PBP-MTP : 125-253W / PCIe5.0, 4.0 / 5600, 3200MHz / 인텔 UHD 770 / 기술 지원 : SMT(하이퍼스레딩) , 인텔 XTU , 인텔 딥러닝부스트 / 쿨러 : 미포함 / 시네벤치R23(싱글) : 2093 / 시네벤치R23(멀티) : 29522 / 출시가: 409달러 (VAT별도) 닫기",https://img.danuri.io/catalog-image/374/039/018/c487c641780a445dab31e771c7679509.jpg?shrink=130:130&_v=20260921140137,https://prod.danawa.com/info/?pcode=18039374&cate=112747
60,인텔,인텔 코어i5-13세대 13500 (랩터레이크),"434,000","인텔(소켓1700) / P6+E8코어 / 12+8스레드 / 메모리 규격 : DDR5, DDR4 / 내장그래픽:탑재 / 10nm(인텔7) / 기본 클럭 : 2.5GHz / 최대 클럭 : 4.8GHz / L2 캐시 : 11.5MB / L3 캐시 : 24MB / PBP-MTP : 65-154W / PCIe5.0, 4.0 / 4800, 3200MHz / 인텔 UHD 770 / 기술 지원 : SMT(하이퍼스레딩) , 인텔 XTU , 인텔 퀵싱크 , 인텔 딥러닝부스트 / 쿨러 : 인텔 기본쿨러 포함 / 시네벤치R23(싱글) : 1866 / 시네벤치R23(멀티) : 20651 / 출시가: 232~242달러 (VAT별도) 닫기",https://img.danuri.io/catalog-image/319/640/018/2d1724db779b4cffab3375074a7d1407.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=18640319&cate=112747
61,인텔,인텔 코어i9-13세대 13900 (랩터레이크),"1,043,700","인텔(소켓1700) / P8+E16코어 / 16+16스레드 / 메모리 규격 : DDR5, DDR4 / 내장그래픽:탑재 / 10nm(인텔7) / 기본 클럭 : 2.0GHz / 최대 클럭 : 5.6GHz / L2 캐시 : 32MB / L3 캐시 : 36MB / PBP-MTP : 65-219W / PCIe5.0, 4.0 / 5600, 3200MHz / 인텔 UHD 770 / 기술 지원 : SMT(하이퍼스레딩) , 인텔 XTU , 인텔 퀵싱크 , 인텔 딥러닝부스트 / 쿨러 : 인텔 기본쿨러 포함 / 시네벤치R23(싱글) : 2187 / 시네벤치R23(멀티) : 37457 / 출시가: 549~579달러 (VAT별도) 닫기",https://img.danuri.io/catalog-image/472/640/018/6db9d61ed43f4a419e3db875f2a6c229.jpg?shrink=130:130&_v=20260921080455,https://prod.danawa.com/info/?pcode=18640472&cate=112747
62,인텔,인텔 코어i3-13세대 13100 (랩터레이크),"497,990","인텔(소켓1700) / 4코어 / 8스레드 / 메모리 규격 : DDR5, DDR4 / 내장그래픽:탑재 / 10nm(인텔7) / 기본 클럭 : 3.4GHz / 최대 클럭 : 4.5GHz / L2 캐시 : 5MB / L3 캐시 : 12MB / PBP-MTP : 60-89W / PCIe5.0, 4.0 / 4800, 3200MHz / 인텔 UHD 730 / 기술 지원 : SMT(하이퍼스레딩) , 인텔 XTU , 인텔 퀵싱크 , 인텔 딥러닝부스트 / 쿨러 : 인텔 기본쿨러 포함 / 시네벤치R23(싱글) : 1697 / 시네벤치R23(멀티) : 8774 / 출시가: 134~144달러 (VAT별도) 닫기",https://img.danuri.io/catalog-image/205/640/018/48b5a35671af4e10b732ef91909801b2.jpg?shrink=130:130&_v=20260921080454,https://prod.danawa.com/info/?pcode=18640205&cate=112747
63,인텔,인텔 코어i9-13세대 13900KF (랩터레이크),"703,080","인텔(소켓1700) / P8+E16코어 / 16+16스레드 / 메모리 규격 : DDR5, DDR4 / 내장그래픽:미탑재 / 10nm(인텔7) / 기본 클럭 : 3.0GHz / 최대 클럭 : 5.8GHz / L2 캐시 : 32MB / L3 캐시 : 36MB / PBP-MTP : 125-253W / PCIe5.0, 4.0 / 5600, 3200MHz / 기술 지원 : SMT(하이퍼스레딩) , 인텔 XTU , 인텔 딥러닝부스트 / 쿨러 : 미포함 / 시네벤치R23(싱글) : 2258 / 시네벤치R23(멀티) : 38753 / 출시가: 564달러 (VAT별도) 닫기",https://img.danuri.io/catalog-image/512/039/018/ca3acaa79ed5434686ed9756740feb1f.jpg?shrink=130:130&_v=20260921080609,https://prod.danawa.com/info/?pcode=18039512&cate=112747
64,인텔,인텔 코어i5-13세대 13600KF (랩터레이크),"286,830","인텔(소켓1700) / P6+E8코어 / 12+8스레드 / 메모리 규격 : DDR5, DDR4 / 내장그래픽:미탑재 / 10nm(인텔7) / 기본 클럭 : 3.5GHz / 최대 클럭 : 5.1GHz / L2 캐시 : 20MB / L3 캐시 : 24MB / PBP-MTP : 125-181W / PCIe5.0, 4.0 / 5600, 3200MHz / 기술 지원 : SMT(하이퍼스레딩) , 인텔 XTU , 인텔 딥러닝부스트 / 쿨러 : 미포함 닫기",https://img.danuri.io/catalog-image/253/169/018/ea081ad887854243a80b622360de77da.jpg?shrink=130:130&_v=20260921080457,https://prod.danawa.com/info/?pcode=18169253&cate=112747
65,인텔,인텔 코어i5-13세대 13600K (랩터레이크),"410,000","인텔(소켓1700) / P6+E8코어 / 12+8스레드 / 메모리 규격 : DDR5, DDR4 / 내장그래픽:탑재 / 10nm(인텔7) / 기본 클럭 : 3.5GHz / 최대 클럭 : 5.1GHz / L2 캐시 : 20MB / L3 캐시 : 24MB / PBP-MTP : 125-181W / PCIe5.0, 4.0 / 5600, 3200MHz / 인텔 UHD 770 / 기술 지원 : SMT(하이퍼스레딩) , 인텔 XTU , 인텔 딥러닝부스트 / 쿨러 : 미포함 닫기",https://img.danuri.io/catalog-image/127/169/018/b7b14d8bea044f258d1a1021d20f4f8d.jpg?shrink=130:130&_v=20260921080457,https://prod.danawa.com/info/?pcode=18169127&cate=112747
66,인텔,인텔 코어i7-13세대 13700KF (랩터레이크),"386,410","인텔(소켓1700) / P8+E8코어 / 16+8스레드 / 메모리 규격 : DDR5, DDR4 / 내장그래픽:미탑재 / 10nm(인텔7) / 기본 클럭 : 3.4GHz / 최대 클럭 : 5.4GHz / L2 캐시 : 24MB / L3 캐시 : 30MB / PBP-MTP : 125-253W / PCIe5.0, 4.0 / 5600, 3200MHz / 기술 지원 : SMT(하이퍼스레딩) , 인텔 XTU , 인텔 딥러닝부스트 / 쿨러 : 미포함 닫기",https://img.danuri.io/catalog-image/013/184/018/9f988c8785d345c2b8784e066c5c2c0a.jpg?shrink=130:130&_v=20260921080609,https://prod.danawa.com/info/?pcode=18184013&cate=112747
