번호,제조사,제품명,가격,세부스펙,이미지,상품주소
35,마이크로닉스,마이크로닉스 Classic II 풀체인지 750W 80PLUS스탠다드 ATX3.1,"82,900","ATX 파워 / 750W / 80 PLUS 스탠다드 / 전압변동 : ±0.38% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 7년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : 8핀x1, (4+4)핀x1 / PCIe 16핀(12+4) : 12V2x6 1개 / PCIe 8핀(6+2) : 2개 / SATA : 4개 / IDE 4핀 : 2개 / [부가기능] 플랫케이블 / 대기전력 1W 미만 닫기",https://img.danuri.io/catalog-image/838/979/072/de4bcfcc549745d2ac1f92a867376d63.jpg?shrink=130:130&_v=20260921080609,https://prod.danawa.com/info/?pcode=72979838&cate=112777
36,마이크로닉스,마이크로닉스 Classic II 풀체인지 900W 80PLUS실버 ATX3.1,"110,800","ATX 파워 / 900W / 80 PLUS 실버 / ETA인증 : SILVER / LAMBDA인증 : STANDARD / 전압변동 : ±1.5% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 무상 7년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : 8핀x1, (4+4)핀x1 / PCIe 16핀(12+4) : 12V2x6 1개 / PCIe 8핀(6+2) : 4개 / SATA : 8개 / IDE 4핀 : 3개 / [부가기능] 자동 팬 조절 / 대기전력 1W 미만 / 플랫케이블 닫기",https://img.danuri.io/catalog-image/117/482/063/42968fa600fa4f17b6829cf80a1ae8cb.jpg?shrink=130:130&_v=20260921133448,https://prod.danawa.com/info/?pcode=63482117&cate=112777
37,마이크로닉스,마이크로닉스 Classic II 1050W 80PLUS골드 풀모듈러 ATX3.1 화이트,"194,610","ATX 파워 / 1050W / 80 PLUS 골드 / 케이블연결 : 풀모듈러 / 전압변동 : ±0.1% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 10년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : 8핀x1, (4+4)핀x1 / PCIe 16핀(12+4) : 12V2x6 1개 / PCIe 8핀(6+2) : 3개 / SATA : 8개 / IDE 4핀 : 4개 / FDD : 1개 / [부가기능] 팬리스모드 / 자동 팬 조절 / 대기전력 1W 미만 / 플랫케이블 / 제로팬모드 / 메쉬케이블 닫기",https://img.danuri.io/catalog-image/953/468/069/5d5db96646d3415ab827a0b79b862d70.jpeg?shrink=130:130&_v=20260921095702,https://prod.danawa.com/info/?pcode=69468953&cate=112777
38,마이크로닉스,마이크로닉스 COOLMAX P-1050W 80PLUS플래티넘 ATX3.1,"183,490","ATX 파워 / 1050W / 80 PLUS 플래티넘 / 케이블연결 : 풀모듈러 / 전압변동 : ±1.5% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 10년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : 8핀x1, (4+4)핀x1 / PCIe 16핀(12+4) : 12V2x6 1개 / PCIe 8핀(6+2) : 2개 / SATA : 10개 / IDE 4핀 : 4개 / [부가기능] 팬리스모드 / 자동 팬 조절 / 대기전력 1W 미만 / 플랫케이블 닫기",https://img.danuri.io/catalog-image/547/188/101/48e7595ec0b7480db209677b44a3bcec.jpg?shrink=130:130&_v=20260921081045,https://prod.danawa.com/info/?pcode=101188547&cate=112777
39,마이크로닉스,마이크로닉스 Classic II 풀체인지 700W 80PLUS브론즈 ATX3.1 화이트,"88,900","ATX 파워 / 700W / 80 PLUS 브론즈 / 케이블연결 : 케이블일체형 / ETA인증 : BRONZE / LAMBDA인증 : STANDARD / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 7년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : 8핀x1, (4+4)핀x1 / PCIe 16핀(12+4) : 12V2x6 1개 / PCIe 8핀(6+2) : 2개 / SATA : 6개 / IDE 4핀 : 4개 / [부가기능] 팬리스모드 / 자동 팬 조절 / 대기전력 1W 미만 / 플랫케이블 닫기",https://img.danuri.io/catalog-image/339/906/044/82fabe4af5fc4e84bf06b19ab3dde939.jpg?shrink=130:130&_v=20260921080443,https://prod.danawa.com/info/?pcode=44906339&cate=112777
40,마이크로닉스,마이크로닉스 WIZMAX 850W 80PLUS골드 ATX 3.1,"110,800",ATX 파워 / 850W / 80 PLUS 골드 / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 무상 7년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : (4+4)핀x1 / PCIe 16핀(12+4) : 12V2x6 1개 / PCIe 8핀(6+2) : 2개 / SATA : 8개 / IDE 4핀 : 4개 / [부가기능] 대기전력 1W 미만 / 프리볼트 닫기,https://img.danuri.io/catalog-image/249/720/122/50a6abad51d7499eaeed2e7bcceef606.jpeg?shrink=130:130&_v=20260921081229,https://prod.danawa.com/info/?pcode=122720249&cate=112777
41,마이크로닉스,마이크로닉스 WIZMAX G-1650W 80PLUS골드 ATX3.1,"492,730",ATX 파워 / 1650W / 80 PLUS 골드 / 케이블연결 : 풀모듈러 / 전압변동 : ±0.3% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 135mm 팬 / 깊이 : 180mm / 무상 10년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : (4+4)핀x2 / PCIe 16핀(12+4) : 12V2x6 2개 / PCIe 8핀(6+2) : 9개 / SATA : 16개 / IDE 4핀 : 6개 / FDD : 1개 / [부가기능] 팬리스모드 / 자동 팬 조절 / 대기전력 1W 미만 / 프리볼트 / 플랫케이블 닫기,https://img.danuri.io/catalog-image/712/242/098/0cf1094f14f24f80b8bcdc3fa10c5a44.jpg?shrink=130:130&_v=20260921140455,https://prod.danawa.com/info/?pcode=98242712&cate=112777
42,마이크로닉스,마이크로닉스 ASTRO II PT 850W 80PLUS플래티넘 풀모듈러 ATX3.1,"208,630","ATX 파워 / 850W / 80 PLUS 플래티넘 / 케이블연결 : 풀모듈러 / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 깊이 : 140mm / 무상 10년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : 8핀x1, (4+4)핀x1 / PCIe 16핀(12+4) : 12V2x6 1개 / PCIe 8핀(6+2) : 3개 / SATA : 8개 / IDE 4핀 : 4개 / FDD : 1개 / [부가기능] 팬리스모드 / 자동 팬 조절 / 대기전력 1W 미만 / 프리볼트 / 플랫케이블 닫기",https://img.danuri.io/catalog-image/611/634/122/20d91e368fe54a16afdd767377c54537.jpeg?shrink=130:130&_v=20260921080622,https://prod.danawa.com/info/?pcode=122634611&cate=112777
43,마이크로닉스,마이크로닉스 Performance II HV 1000W 80PLUS브론즈 FDB,"81,900","ATX 파워 / 1000W / 80 PLUS 브론즈 / 케이블연결 : 세미모듈러 / +12V 싱글레일 / +12V 가용률 : 99% / 액티브PFC / PF(역률) : 99% / 135mm 팬 / 깊이 : 160mm / 무상 6년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : 8핀x1, (4+4)핀x1 / PCIe 8핀(6+2) : 6개 / SATA : 12개 / IDE 4핀 : 5개 / FDD : 1개 / [부가기능] 자동 팬 조절 / 대기전력 1W 미만 / 프리볼트 / 플랫케이블 닫기",https://img.danuri.io/catalog-image/617/054/010/d2ee9e97f2414f65b343c40d31fc1449.jpg?shrink=130:130&_v=20260921102726,https://prod.danawa.com/info/?pcode=10054617&cate=112777
44,마이크로닉스,마이크로닉스 COOLMAX P-1050W 80PLUS플래티넘 ATX3.0,"189,000",ATX 파워 / 1050W / 80 PLUS 플래티넘 / 케이블연결 : 풀모듈러 / 전압변동 : ±1.5% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 10년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : (4+4)핀x1 / PCIe 16핀(12+4) : 12VHPWR 1개 / PCIe 8핀(6+2) : 2개 / SATA : 10개 / IDE 4핀 : 4개 / 팬리스모드 / 자동 팬 조절 / 대기전력 1W 미만 / 플랫케이블 닫기,https://img.danuri.io/catalog-image/321/961/019/b854fa7ed95f4dfb9044a2694be550ce.jpg?shrink=130:130&_v=20260921080609,https://prod.danawa.com/info/?pcode=19961321&cate=112777
