번호,제조사,용량_GB,제품명,가격,세부스펙,이미지,상품주소
307,G.SKILL,64GB,G.SKILL DDR5-6000 CL30 RIPJAWS S5 J 블랙 패키지,"2,036,450",데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL30-40-40-96 / 1.40V / 램개수 : 2개 / XMP3.0 / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 블랙 / 높이 : 33mm,https://img.danuri.io/catalog-image/666/000/017/03fedb4aa35e47d99042fa8abed2c552.jpg?shrink=130:130&_v=20260921162418,https://prod.danawa.com/info/?pcode=17000666&cate=112752
308,G.SKILL,64GB,G.SKILL DDR5-6000 CL30 RIPJAWS M5 NEO RGB 화이트 패키지,"2,190,000","데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL30-40-40-96 / 1.40V / 램개수 : 2개 / LED 라이트 / EXPO / 온다이ECC / 방열판 색상 : 화이트 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 41mm",https://img.danuri.io/catalog-image/526/724/075/ff6c18376baa43dab50e6163f30cbd96.jpg?shrink=130:130&_v=20260921040537,https://prod.danawa.com/info/?pcode=75724526&cate=112752
309,G.SKILL,64GB,G.SKILL DDR5-6000 CL30 RIPJAWS S5 J 화이트 패키지,"2,090,000",데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL30-40-40-96 / 1.40V / 램개수 : 2개 / XMP3.0 / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 화이트 / 높이 : 33mm,https://img.danuri.io/catalog-image/741/000/017/b978c0a0f0e34d8a9d1964ac039a9565.jpg?shrink=130:130&_v=20260920080509,https://prod.danawa.com/info/?pcode=17000741&cate=112752
310,G.SKILL,64GB,G.SKILL DDR5-6000 CL30 TRIDENT Z5 NEO J 패키지,"2,100,000",데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL30-40-40-96 / 1.40V / 램개수 : 2개 / EXPO / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 블랙 / 높이 : 44mm,https://img.danuri.io/catalog-image/801/559/040/21a6dd64db424340ac082f96205ad02d.jpg?shrink=130:130&_v=20260921032117,https://prod.danawa.com/info/?pcode=40559801&cate=112752
311,G.SKILL,64GB,G.SKILL DDR5-6400 CL32 TRIDENT Z5 RGB J 패키지,"2,144,990","데스크탑용 / DDR5 / 6400MHz (PC5-51200) / 램타이밍 : CL32-39-39-102 / 1.40V / 램개수 : 2개 / LED 라이트 / XMP3.0 / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 블랙 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 44mm",https://img.danuri.io/catalog-image/602/036/018/d0aba40f97be4219b3c083f057e362d3.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=18036602&cate=112752
312,G.SKILL,64GB,G.SKILL DDR5-6000 CL28 RIPJAWS M5 NEO RGB 블랙 패키지,"1,680,000","데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL28-36-36-96 / 1.40V / 램개수 : 2개 / LED 라이트 / EXPO / 온다이ECC / 방열판 색상 : 블랙 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 41mm",https://img.danuri.io/catalog-image/346/724/075/307a699d788643fc897b739b935805a1.jpg?shrink=130:130&_v=20260921080455,https://prod.danawa.com/info/?pcode=75724346&cate=112752
313,G.SKILL,64GB,G.SKILL DDR5-6400 CL32 TRIDENT Z5 RGB 화이트 패키지,"1,790,000","데스크탑용 / DDR5 / 6400MHz (PC5-51200) / 램타이밍 : CL32-39-39-102 / 1.40V / 램개수 : 2개 / LED 라이트 / XMP3.0 / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 화이트 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 44mm",https://img.danuri.io/catalog-image/455/639/021/1ee46552950944af8483fd774230a09a.jpg?shrink=130:130&_v=20260921112548,https://prod.danawa.com/info/?pcode=21639455&cate=112752
314,G.SKILL,64GB,G.SKILL DDR5-6000 CL28 FLARE X5 J 패키지,"1,906,190",데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL28-36-36-96 / 1.40V / 램개수 : 2개 / EXPO / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 블랙 / 높이 : 33mm,https://img.danuri.io/catalog-image/702/656/075/0ab62e05e6fc4884b3809f3dc81edf76.jpg?shrink=130:130&_v=20260921080622,https://prod.danawa.com/info/?pcode=75656702&cate=112752
315,G.SKILL,64GB,G.SKILL DDR5-6000 CL28 FLARE X5 J 화이트 패키지,"1,979,990",데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL28-36-36-96 / 1.40V / 램개수 : 2개 / EXPO / 온다이ECC / 히트싱크 : 방열판 / 방열판 색상 : 화이트 / 높이 : 33mm,https://img.danuri.io/catalog-image/726/656/075/86a0832f310b48c1aac35d9ced32bf01.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=75656726&cate=112752
316,G.SKILL,64GB,G.SKILL DDR5-6000 CL30 RIPJAWS M5 NEO RGB 블랙 패키지,"2,190,000","데스크탑용 / DDR5 / 6000MHz (PC5-48000) / 램타이밍 : CL30-40-40-96 / 1.40V / 램개수 : 2개 / LED 라이트 / EXPO / 온다이ECC / 방열판 색상 : 블랙 / LED색상 : RGB / LED 시스템 : AURA SYNC , MYSTIC LIGHT , RGB FUSION , POLYCHROME / 높이 : 41mm",https://img.danuri.io/catalog-image/439/724/075/41cdce81063443c8875321d2ba741245.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=75724439&cate=112752
