번호,제조사,제품명,가격,세부스펙,이미지,상품주소
100,GIGABYTE,GIGABYTE 지포스 RTX 5080 GAMING OC D7 16GB 피씨디렉트,"2,472,990","RTX 5080 / PCIe5.0x16 / 850W 이상 / 가로(길이) : 340mm / 부스트클럭 : 2730MHz / 스트림 프로세서 : 10752 / 최대 AI TOPS : 1801(FP4) / GDDR7 / VRAM 대역폭 : 960 GB/s / 출력단자 : HDMI2.1 , DP2.1 / 지원정보 : 8K 지원 / 3팬 / 두께 : 70mm / 제로팬(0-dB기술) / 백플레이트 / LED 라이트 / Dual BIOS / 구성품 : VGA지지대 , 3x8핀 to 16핀 커넥터 / A/S 4년",https://img.danuri.io/catalog-image/666/074/075/984a824f9baf4e569cf8c4aafc6a4374.jpg?shrink=130:130&_v=20260921140718,https://prod.danawa.com/info/?pcode=75074666&cate=112753
101,GIGABYTE,GIGABYTE 지포스 RTX 5080 WINDFORCE OC SFF D7 16GB 피씨디렉트,"2,467,480","RTX 5080 / PCIe5.0x16 / 850W 이상 / 가로(길이) : 304mm / 부스트클럭 : 2670MHz / 스트림 프로세서 : 10752 / 최대 AI TOPS : 1801(FP4) / GDDR7 / VRAM 대역폭 : 960 GB/s / 출력단자 : HDMI2.1 , DP2.1 / 지원정보 : 8K 지원 / 3팬 / 두께 : 50mm / 제로팬(0-dB기술) / 백플레이트 / Dual BIOS / 구성품 : VGA지지대 , 3x8핀 to 16핀 커넥터 / A/S 4년",https://img.danuri.io/catalog-image/732/074/075/66d10492a1754474baa018c7d36cef5d.jpg?shrink=130:130&_v=20260921144723,https://prod.danawa.com/info/?pcode=75074732&cate=112753
102,GIGABYTE,GIGABYTE AORUS 지포스 RTX 5080 INFINITY WOOD D7 16GB 제이씨현,"2,901,160","RTX 5080 / PCIe5.0x16 / 850W 이상 / 전원 포트 : 16핀(12V2x6) x1 / 가로(길이) : 330mm / 부스트클럭 : 2805MHz / 스트림 프로세서 : 10752 / 최대 AI TOPS : 1801(FP4) / GDDR7 / VRAM 대역폭 : 960 GB/s / 출력단자 : HDMI2.1 , DP2.1 / 지원정보 : 8K 지원 , HDCP 2.3 / 3팬 / 두께 : 75mm / 제로팬(0-dB기술) / 백플레이트 / LED 라이트 / 구성품 : VGA지지대 , 8핀 to 12V2x6 커넥터 / A/S 4년",https://img.danuri.io/catalog-image/266/590/123/b03b67500d614eba830bb5ea89f551fe.jpeg?shrink=130:130&_v=20260921080404,https://prod.danawa.com/info/?pcode=123590266&cate=112753
103,GIGABYTE,GIGABYTE 지포스 RTX 5080 AERO OC SFF D7 16GB 피씨디렉트,"2,537,490","RTX 5080 / PCIe5.0x16 / 850W 이상 / 가로(길이) : 304mm / 부스트클럭 : 2730MHz / 스트림 프로세서 : 10752 / 최대 AI TOPS : 1801(FP4) / GDDR7 / VRAM 대역폭 : 960 GB/s / 출력단자 : HDMI2.1 , DP2.1 / 지원정보 : 8K 지원 / 3팬 / 두께 : 50mm / 제로팬(0-dB기술) / 백플레이트 / LED 라이트 / Dual BIOS / 구성품 : VGA지지대 , 3x8핀 to 16핀 커넥터 / A/S 4년",https://img.danuri.io/catalog-image/516/074/075/822461b03a684577bc9372ebeb82a486.jpg?shrink=130:130&_v=20260921144559,https://prod.danawa.com/info/?pcode=75074516&cate=112753
104,GIGABYTE,GIGABYTE AORUS 지포스 RTX 5080 INFINITY D7 16GB 제이씨현,"2,888,860","RTX 5080 / PCIe5.0x16 / 850W 이상 / 전원 포트 : 16핀(12V2x6) x1 / 가로(길이) : 330mm / 부스트클럭 : 2805MHz / 스트림 프로세서 : 10752 / 최대 AI TOPS : 1801(FP4) / GDDR7 / VRAM 대역폭 : 960 GB/s / 출력단자 : HDMI2.1 , DP2.1 / 지원정보 : 8K 지원 , HDCP 2.3 / 3팬 / 두께 : 75mm / 제로팬(0-dB기술) / 백플레이트 / LED 라이트 / 구성품 : VGA지지대 , 8핀 to 12V2x6 커넥터 / A/S 4년",https://img.danuri.io/catalog-image/291/590/123/ea180102a9de455f8d55f3fac55fa005.jpeg?shrink=130:130&_v=20260921080443,https://prod.danawa.com/info/?pcode=123590291&cate=112753
105,GIGABYTE,GIGABYTE AORUS 지포스 RTX 5080 INFINITY D7 16GB 피씨디렉트,"2,861,870","RTX 5080 / PCIe5.0x16 / 850W 이상 / 전원 포트 : 16핀(12V2x6) x1 / 가로(길이) : 330mm / 부스트클럭 : 2805MHz / 스트림 프로세서 : 10752 / 최대 AI TOPS : 1801(FP4) / GDDR7 / VRAM 대역폭 : 960 GB/s / 출력단자 : HDMI2.1 , DP2.1 / 지원정보 : 8K 지원 , HDCP 2.3 / 3팬 / 두께 : 75mm / 제로팬(0-dB기술) / 백플레이트 / LED 라이트 / 구성품 : VGA지지대 , 8핀 to 12V2x6 커넥터 / A/S 4년",https://img.danuri.io/catalog-image/535/726/122/72c42598e94149819ac85df72e3164e9.jpeg?shrink=130:130&_v=20260921080622,https://prod.danawa.com/info/?pcode=122726535&cate=112753
106,GIGABYTE,GIGABYTE AORUS 지포스 RTX 5080 INFINITY WOOD D7 16GB 피씨디렉트,"2,923,230","RTX 5080 / PCIe5.0x16 / 850W 이상 / 전원 포트 : 16핀(12V2x6) x1 / 가로(길이) : 330mm / 부스트클럭 : 2805MHz / 스트림 프로세서 : 10752 / 최대 AI TOPS : 1801(FP4) / GDDR7 / VRAM 대역폭 : 960 GB/s / 출력단자 : HDMI2.1 , DP2.1 / 지원정보 : 8K 지원 , HDCP 2.3 / 3팬 / 두께 : 65mm / 제로팬(0-dB기술) / 백플레이트 / LED 라이트 / 구성품 : VGA지지대 , 8핀 to 12V2x6 커넥터 / A/S 4년",https://img.danuri.io/catalog-image/547/726/122/d10c3f007966424eab3cf83749c42557.jpeg?shrink=130:130&_v=20260921151458,https://prod.danawa.com/info/?pcode=122726547&cate=112753
107,GIGABYTE,GIGABYTE 지포스 RTX 5080 WINDFORCE OC V2 SFF D7 16GB 제이씨현,"2,498,040","RTX 5080 / PCIe5.0x16 / 850W 이상 / 가로(길이) : 304mm / 부스트클럭 : 2670MHz / 스트림 프로세서 : 10752 / 최대 AI TOPS : 1801(FP4) / GDDR7 / VRAM 대역폭 : 960 GB/s / 출력단자 : HDMI2.1 , DP2.1 / 지원정보 : 8K 지원 / 3팬 / 두께 : 50mm / 제로팬(0-dB기술) / 백플레이트 / 구성품 : VGA지지대 , 3x8핀 to 16핀 커넥터 / A/S 3년",https://img.danuri.io/catalog-image/276/981/123/af304e0237694e9da5aa3fe55dfc3d51.jpeg?shrink=130:130&_v=20260921142538,https://prod.danawa.com/info/?pcode=123981276&cate=112753
108,GIGABYTE,GIGABYTE AORUS 지포스 RTX 5080 XTREME 워터포스 D7 16GB 제이씨현,"2,599,000","RTX 5080 / PCIe5.0x16 / 850W 이상 / 전원 포트 : 16핀(12V2x6) x1 / 가로(길이) : 220mm / 부스트클럭 : 2805MHz / 스트림 프로세서 : 10752 / 최대 AI TOPS : 1801(FP4) / GDDR7 / VRAM 대역폭 : 960 GB/s / 출력단자 : HDMI2.1 , DP2.1 / 지원정보 : 8K 지원 , HDCP 2.3 / 3팬 / 두께 : 40mm / LED 라이트 / 수냉 장착 지원 / 구성품 : 3x8핀 to 16핀 커넥터 / A/S 4년",https://img.danuri.io/catalog-image/588/536/075/3bf00737051e41da8e01bd03abe51097.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=75536588&cate=112753
109,GIGABYTE,GIGABYTE 지포스 RTX 5080 WINDFORCE OC V2 SFF D7 16GB 피씨디렉트,"2,418,990","RTX 5080 / PCIe5.0x16 / 850W 이상 / 가로(길이) : 304mm / 부스트클럭 : 2670MHz / 스트림 프로세서 : 10752 / 최대 AI TOPS : 1801(FP4) / GDDR7 / VRAM 대역폭 : 960 GB/s / 출력단자 : HDMI2.1 , DP2.1 / 지원정보 : 8K 지원 / 3팬 / 두께 : 50mm / 제로팬(0-dB기술) / 백플레이트 / 구성품 : VGA지지대 , 3x8핀 to 16핀 커넥터 / A/S 4년",https://img.danuri.io/catalog-image/255/981/123/e22f4d2388d447cf97bf2541e1d96318.jpeg?shrink=130:130&_v=20260921141809,https://prod.danawa.com/info/?pcode=123981255&cate=112753
